step,epoch_index,offset_in_epoch,samples_in_step,mean_margin,epoch_boundary_step,SemVariants_count,SemVariants_ratio,VisVariants_count,VisVariants_ratio,DermQA_count,DermQA_ratio,SI1_count,SI1_ratio,SI2_count,SI2_ratio,loss,grad_norm,learning_rate,log_epoch
1,1,1,256,0.1449138802890957,True,31,0.12109375,57,0.22265625,15,0.05859375,79,0.30859375,74,0.2890625,,,,
2,1,2,256,0.13522057054797187,False,29,0.11328125,59,0.23046875,10,0.0390625,76,0.296875,82,0.3203125,,,,
3,1,3,256,0.13553306230460294,False,28,0.109375,54,0.2109375,18,0.0703125,87,0.33984375,69,0.26953125,,,,
4,1,4,256,0.13668494622106664,False,21,0.08203125,43,0.16796875,19,0.07421875,85,0.33203125,88,0.34375,,,,
5,1,5,256,0.136661887387163,False,28,0.109375,62,0.2421875,24,0.09375,61,0.23828125,81,0.31640625,2.2968,2.894096851348877,1e-05,0.07476635514018691
6,1,6,256,0.12446411978453398,False,25,0.09765625,59,0.23046875,19,0.07421875,58,0.2265625,95,0.37109375,,,,
7,1,7,256,0.1297614668146707,False,35,0.13671875,45,0.17578125,20,0.078125,77,0.30078125,79,0.30859375,,,,
8,1,8,256,0.13189597367454553,False,39,0.15234375,44,0.171875,23,0.08984375,75,0.29296875,75,0.29296875,,,,
9,1,9,256,0.1336022441391833,False,36,0.140625,48,0.1875,18,0.0703125,68,0.265625,86,0.3359375,,,,
10,1,10,256,0.12434917877544649,False,32,0.125,49,0.19140625,22,0.0859375,63,0.24609375,90,0.3515625,,,,0.14953271028037382
11,1,11,256,0.13448724657064304,False,28,0.109375,56,0.21875,20,0.078125,68,0.265625,84,0.328125,,,,
12,1,12,256,0.12962490844074637,False,39,0.15234375,39,0.15234375,18,0.0703125,76,0.296875,84,0.328125,,,,
13,1,13,256,0.13793057958537247,False,31,0.12109375,50,0.1953125,18,0.0703125,75,0.29296875,82,0.3203125,,,,
14,1,14,256,0.14186594283819431,False,27,0.10546875,44,0.171875,27,0.10546875,67,0.26171875,91,0.35546875,,,,
15,1,15,256,0.13755016250070184,False,31,0.12109375,52,0.203125,20,0.078125,71,0.27734375,82,0.3203125,1.9159,3.290893077850342,1.96875e-05,0.22429906542056074
16,1,16,256,0.12338452902622521,False,31,0.12109375,46,0.1796875,30,0.1171875,61,0.23828125,88,0.34375,,,,
17,1,17,256,0.1302807415049756,False,29,0.11328125,52,0.203125,18,0.0703125,85,0.33203125,72,0.28125,,,,
18,1,18,256,0.15042914266814478,False,28,0.109375,42,0.1640625,20,0.078125,85,0.33203125,81,0.31640625,,,,
19,1,19,256,0.14627723390003666,False,28,0.109375,52,0.203125,14,0.0546875,82,0.3203125,80,0.3125,,,,
20,1,20,256,0.12979750739759766,False,29,0.11328125,50,0.1953125,19,0.07421875,83,0.32421875,75,0.29296875,,,,0.29906542056074764
21,1,21,256,0.13708523323293775,False,23,0.08984375,56,0.21875,14,0.0546875,86,0.3359375,77,0.30078125,,,,
22,1,22,256,0.128916006993677,False,30,0.1171875,53,0.20703125,20,0.078125,69,0.26953125,84,0.328125,,,,
23,1,23,256,0.15397943757670873,False,29,0.11328125,63,0.24609375,22,0.0859375,79,0.30859375,63,0.24609375,,,,
24,1,24,256,0.1407820183012518,False,32,0.125,53,0.20703125,18,0.0703125,76,0.296875,77,0.30078125,,,,
25,1,25,256,0.13203162376885302,False,34,0.1328125,56,0.21875,22,0.0859375,73,0.28515625,71,0.27734375,1.2236,1.8754016160964966,1.9062500000000003e-05,0.37383177570093457
26,1,26,256,0.1366207797836978,False,25,0.09765625,47,0.18359375,19,0.07421875,87,0.33984375,78,0.3046875,,,,
27,1,27,256,0.13094731242745183,False,32,0.125,41,0.16015625,29,0.11328125,79,0.30859375,75,0.29296875,,,,
28,1,28,256,0.13202225870918483,False,19,0.07421875,49,0.19140625,23,0.08984375,81,0.31640625,84,0.328125,,,,
29,1,29,256,0.1374810931738466,False,20,0.078125,49,0.19140625,17,0.06640625,85,0.33203125,85,0.33203125,,,,
30,1,30,256,0.11326930992072448,False,39,0.15234375,46,0.1796875,21,0.08203125,63,0.24609375,87,0.33984375,,,,0.4485981308411215
31,1,31,256,0.1289387872966472,False,23,0.08984375,48,0.1875,25,0.09765625,73,0.28515625,87,0.33984375,,,,
32,1,32,256,0.1355372456891928,False,35,0.13671875,63,0.24609375,21,0.08203125,73,0.28515625,64,0.25,,,,
33,1,33,256,0.13808922009775415,False,30,0.1171875,55,0.21484375,31,0.12109375,72,0.28125,68,0.265625,,,,
34,1,34,256,0.12752837300649844,False,24,0.09375,45,0.17578125,22,0.0859375,71,0.27734375,94,0.3671875,,,,
35,1,35,256,0.13398308318573982,False,32,0.125,52,0.203125,14,0.0546875,80,0.3125,78,0.3046875,0.9638,1.6336301565170288,1.84375e-05,0.5233644859813084
36,1,36,256,0.12308999108790886,False,23,0.08984375,49,0.19140625,13,0.05078125,75,0.29296875,96,0.375,,,,
37,1,37,256,0.12188542477088049,False,33,0.12890625,49,0.19140625,19,0.07421875,73,0.28515625,82,0.3203125,,,,
38,1,38,256,0.13541187747614458,False,23,0.08984375,55,0.21484375,18,0.0703125,76,0.296875,84,0.328125,,,,
39,1,39,256,0.13994228263618425,False,29,0.11328125,43,0.16796875,21,0.08203125,73,0.28515625,90,0.3515625,,,,
40,1,40,256,0.1313436737691518,False,32,0.125,54,0.2109375,25,0.09765625,74,0.2890625,71,0.27734375,,,,0.5981308411214953
41,1,41,256,0.1251128908697865,False,25,0.09765625,44,0.171875,24,0.09375,72,0.28125,91,0.35546875,,,,
42,1,42,256,0.13139985757879913,False,34,0.1328125,54,0.2109375,14,0.0546875,74,0.2890625,80,0.3125,,,,
43,1,43,256,0.12912919925292954,False,30,0.1171875,54,0.2109375,13,0.05078125,77,0.30078125,82,0.3203125,,,,
44,1,44,256,0.1453983091923874,False,31,0.12109375,49,0.19140625,13,0.05078125,92,0.359375,71,0.27734375,,,,
45,1,45,256,0.12516043045616243,False,37,0.14453125,35,0.13671875,22,0.0859375,84,0.328125,78,0.3046875,0.7173,0.9179554581642151,1.7812500000000003e-05,0.6728971962616822
46,1,46,256,0.13839779305271804,False,28,0.109375,42,0.1640625,23,0.08984375,76,0.296875,87,0.33984375,,,,
47,1,47,256,0.1308907890925184,False,21,0.08203125,61,0.23828125,17,0.06640625,79,0.30859375,78,0.3046875,,,,
48,1,48,256,0.13777395046781749,False,31,0.12109375,50,0.1953125,21,0.08203125,86,0.3359375,68,0.265625,,,,
49,1,49,256,0.13886610319605097,False,37,0.14453125,51,0.19921875,19,0.07421875,78,0.3046875,71,0.27734375,,,,
50,1,50,256,0.15064742116373964,False,31,0.12109375,39,0.15234375,15,0.05859375,85,0.33203125,86,0.3359375,,,,0.7476635514018691
51,1,51,256,0.12036201616865583,False,31,0.12109375,49,0.19140625,26,0.1015625,72,0.28125,78,0.3046875,,,,
52,1,52,256,0.13194269448285922,False,32,0.125,50,0.1953125,16,0.0625,79,0.30859375,79,0.30859375,,,,
53,1,53,256,0.12734410993289202,False,32,0.125,58,0.2265625,21,0.08203125,80,0.3125,65,0.25390625,,,,
54,1,54,256,0.12105961341876537,False,31,0.12109375,53,0.20703125,23,0.08984375,73,0.28515625,76,0.296875,,,,
55,1,55,256,0.1372226273524575,False,37,0.14453125,52,0.203125,17,0.06640625,69,0.26953125,81,0.31640625,0.6425,0.8017697334289551,1.71875e-05,0.822429906542056
56,1,56,256,0.13055948211695068,False,39,0.15234375,43,0.16796875,18,0.0703125,61,0.23828125,95,0.37109375,,,,
57,1,57,256,0.14717982659931295,False,28,0.109375,42,0.1640625,19,0.07421875,84,0.328125,83,0.32421875,,,,
58,1,58,256,0.13385302986716852,False,35,0.13671875,56,0.21875,15,0.05859375,79,0.30859375,71,0.27734375,,,,
59,1,59,256,0.12695295753655955,False,20,0.078125,44,0.171875,26,0.1015625,72,0.28125,94,0.3671875,,,,
60,1,60,256,0.14244341445737518,False,31,0.12109375,36,0.140625,17,0.06640625,84,0.328125,88,0.34375,,,,0.897196261682243
61,1,61,256,0.1336422438325826,False,27,0.10546875,53,0.20703125,15,0.05859375,67,0.26171875,94,0.3671875,,,,
62,1,62,256,0.1245583857235033,False,40,0.15625,49,0.19140625,16,0.0625,66,0.2578125,85,0.33203125,,,,
63,1,63,256,0.13275044821057236,False,33,0.12890625,46,0.1796875,20,0.078125,72,0.28125,85,0.33203125,,,,
64,1,64,256,0.15627750213025138,False,37,0.14453125,34,0.1328125,21,0.08203125,75,0.29296875,89,0.34765625,,,,
65,1,65,256,0.1292833519692067,False,29,0.11328125,59,0.23046875,18,0.0703125,72,0.28125,78,0.3046875,0.5927,0.8002961277961731,1.6562500000000003e-05,0.9719626168224299
66,1,66,256,0.12775950043578632,False,29,0.11328125,48,0.1875,21,0.08203125,86,0.3359375,72,0.28125,,,,
67,1,67,256,0.135485381098988,False,30,0.1171875,49,0.19140625,20,0.078125,70,0.2734375,87,0.33984375,,,,
68,1,68,256,0.1358415976719698,False,32,0.125,53,0.20703125,19,0.07421875,82,0.3203125,70,0.2734375,,,,
69,1,69,256,0.13987811938568484,False,25,0.09765625,52,0.203125,17,0.06640625,95,0.37109375,67,0.26171875,,,,
70,1,70,256,0.14759285598120186,False,31,0.12109375,45,0.17578125,16,0.0625,91,0.35546875,73,0.28515625,,,,1.0467289719626167
71,1,71,256,0.13532164850039408,False,27,0.10546875,53,0.20703125,25,0.09765625,68,0.265625,83,0.32421875,,,,
72,1,72,256,0.13165182759985328,False,30,0.1171875,45,0.17578125,23,0.08984375,74,0.2890625,84,0.328125,,,,
73,1,73,256,0.12135231876163743,False,31,0.12109375,60,0.234375,15,0.05859375,67,0.26171875,83,0.32421875,,,,
74,1,74,256,0.12361397070344537,False,27,0.10546875,53,0.20703125,22,0.0859375,85,0.33203125,69,0.26953125,,,,
75,1,75,256,0.13582319776469376,False,30,0.1171875,53,0.20703125,19,0.07421875,82,0.3203125,72,0.28125,0.5525,0.8402279615402222,1.59375e-05,1.1214953271028036
76,1,76,256,0.13692013706895523,False,26,0.1015625,60,0.234375,17,0.06640625,73,0.28515625,80,0.3125,,,,
77,1,77,256,0.12680265871313168,False,27,0.10546875,69,0.26953125,13,0.05078125,73,0.28515625,74,0.2890625,,,,
78,1,78,256,0.13770621689036489,False,35,0.13671875,50,0.1953125,14,0.0546875,74,0.2890625,83,0.32421875,,,,
79,1,79,256,0.1266417645092588,False,30,0.1171875,50,0.1953125,21,0.08203125,72,0.28125,83,0.32421875,,,,
80,1,80,256,0.13817221572389826,False,45,0.17578125,37,0.14453125,11,0.04296875,91,0.35546875,72,0.28125,,,,1.1962616822429906
